SAMPLE,YEAR,RW,LW,BI,EW,RWLOG,LWLOG,BILOG,EWLOG
B08,1886,0.80,0.34,70.11,0.46,-0.10,-0.46,1.85,-0.34
B14,1886,0.73,0.19,56.82,0.54,-0.14,-0.72,1.75,-0.27
B18,1886,3.14,0.90,69.54,2.24,0.50,-0.05,1.84,0.35
G114,1886,1.20,0.38,109.99,0.82,0.08,-0.42,2.04,-0.09
G127,1886,1.50,0.51,109.20,0.98,0.17,-0.29,2.04,-0.01
G130,1886,0.75,0.21,87.31,0.54,-0.12,-0.67,1.94,-0.27
G314,1886,0.81,0.13,51.97,0.67,-0.09,-0.87,1.72,-0.17
G427,1886,0.83,0.22,89.74,0.61,-0.08,-0.66,1.95,-0.22
G434,1886,1.09,0.45,95.64,0.64,0.04,-0.35,1.98,-0.20
G436,1886,0.70,0.23,70.55,0.47,-0.15,-0.64,1.85,-0.33
G437,1886,0.89,0.30,82.08,0.59,-0.05,-0.52,1.91,-0.23
G438,1886,0.41,0.15,96.26,0.26,-0.39,-0.83,1.98,-0.58
B08,1887,1.16,0.40,71.60,0.76,0.07,-0.39,1.85,-0.12
B14,1887,1.14,0.28,60.32,0.86,0.05,-0.56,1.78,-0.07
B18,1887,2.85,0.76,72.65,2.09,0.46,-0.12,1.86,0.32
G114,1887,1.06,0.26,104.04,0.79,0.02,-0.58,2.02,-0.10
G127,1887,1.43,0.48,104.61,0.95,0.16,-0.32,2.02,-0.02
G130,1887,0.80,0.19,80.79,0.61,-0.09,-0.72,1.91,-0.21
G314,1887,0.72,0.14,54.38,0.58,-0.15,-0.87,1.74,-0.24
G427,1887,0.79,0.20,91.66,0.59,-0.10,-0.70,1.96,-0.23
G434,1887,1.21,0.38,79.40,0.84,0.08,-0.43,1.90,-0.08
G436,1887,0.72,0.19,69.13,0.53,-0.14,-0.72,1.84,-0.27
G437,1887,0.87,0.24,75.46,0.62,-0.06,-0.61,1.88,-0.21
G438,1887,0.45,0.14,87.28,0.31,-0.35,-0.86,1.94,-0.51
B08,1888,1.20,0.45,66.60,0.75,0.08,-0.35,1.82,-0.13
B14,1888,1.11,0.30,62.96,0.80,0.04,-0.52,1.80,-0.10
B18,1888,0.75,0.14,53.66,0.61,-0.12,-0.85,1.73,-0.21
G114,1888,0.37,0.08,56.97,0.29,-0.43,-1.09,1.76,-0.54
G127,1888,0.48,0.07,60.83,0.40,-0.32,-1.15,1.78,-0.39
G130,1888,0.27,0.06,41.38,0.21,-0.57,-1.21,1.62,-0.68
G314,1888,0.68,0.14,51.72,0.55,-0.17,-0.87,1.71,-0.26
G427,1888,0.51,0.10,69.93,0.41,-0.30,-1.02,1.84,-0.39
G434,1888,0.51,0.10,29.82,0.41,-0.29,-1.00,1.47,-0.38
G436,1888,0.45,0.11,40.51,0.34,-0.35,-0.96,1.61,-0.47
G437,1888,0.26,0.10,37.90,0.16,-0.58,-1.00,1.58,-0.79
G438,1888,0.26,0.05,63.90,0.21,-0.59,-1.27,1.81,-0.69
B08,1889,0.46,0.14,33.53,0.32,-0.34,-0.86,1.53,-0.50
B14,1889,0.42,0.11,45.57,0.31,-0.37,-0.95,1.66,-0.51
B18,1889,1.14,0.39,66.52,0.75,0.06,-0.41,1.82,-0.12
G114,1889,0.46,0.09,81.44,0.37,-0.34,-1.04,1.91,-0.44
G127,1889,0.37,0.07,67.44,0.30,-0.44,-1.15,1.83,-0.53
G130,1889,0.37,0.09,61.36,0.28,-0.43,-1.04,1.79,-0.56
G314,1889,0.72,0.14,60.22,0.58,-0.14,-0.87,1.78,-0.24
